清华大学	北京市海淀区清华大学
北京大学	北京市海淀区北京大学
中国人民大学	北京市海淀区中国人民大学
北京理工大学	北京市海淀区北京理工大学
北京航空航天大学	北京市海淀区北京航空航天大学
中央民族大学	北京市海淀区中央民族大学
北京师范大学	北京市海淀区北京师范大学
中国农业大学	北京市海淀区中国农业大学
天津大学	天津市南开区天津大学
南开大学	天津市南开区南开大学
复旦大学	上海市杨浦区复旦大学
上海交通大学	上海市闵行区上海交通大学
同济大学	上海市杨浦区同济大学
华东师范大学	上海市闵行区华东师范大学
重庆大学	重庆市沙坪坝区重庆大学
四川大学	四川省成都市四川大学
电子科技大学	四川省成都市电子科技大学
湖南大学	湖南省长沙市湖南大学
国防科技大学	湖南省长沙市国防科技大学
中南大学	湖南省长沙市中南大学
厦门大学	福建省厦门市厦门大学
中国科技技术大学	安徽省合肥市中国科技技术大学
南京大学	江苏省南京市南京大学
东南大学	江苏省南京市东南大学
哈尔滨工业大学	黑龙江省哈尔滨市哈尔滨工业大学
浙江大学	浙江省杭州市浙江大学
西安交通大学	陕西省西安市西安交通大学
西北农林科技大学	陕西省咸阳市西北农林科技大学
西北工业大学	陕西省西安市西北工业大学
华中科技大学	湖北省武汉市华中科技大学
武汉大学	湖北省武汉市武汉大学
中国海洋大学	山东省青岛市中国海洋大学
山东大学	山东省济南市山东大学
吉林大学	吉林省长春市吉林大学
大连理工大学	辽宁省大连市大连理工大学
东北大学	辽宁省沈阳市东北大学
华南理工大学	广东省广州市华南理工大学
中山大学	广东省广州市中山大学
兰州大学	甘肃省兰州市兰州大学
