,university,lat,long
0,清华大学,116.326936,40.003213
1,北京大学,116.310918,39.992873
2,中国人民大学,116.319754,39.970457
3,北京理工大学,116.317635,39.961317
4,北京航空航天大学,116.353650,39.982830
5,中央民族大学,116.320491,39.950579
6,北京师范大学,116.365503,39.961076
7,中国农业大学,116.297700,39.959893
8,天津大学,117.162958,39.110669
9,南开大学,117.157944,39.106283
10,复旦大学,121.504592,31.296708
11,同济大学,121.508514,31.281644
12,华东师范大学,121.380857,31.112834
13,重庆大学,106.472604,29.563815
14,四川大学,104.092227,30.633585
15,电子科技大学,103.929367,30.742149
16,湖南大学,112.945311,28.178169
17,中南大学,112.931736,28.163572
18,厦门大学,118.093521,24.437226
19,中国科技技术大学,117.227267,31.820567
20,南京大学,118.896075,31.959850
21,哈尔滨工业大学,126.633430,45.749374
22,浙江大学,120.195760,30.271221
23,西安交通大学,109.301859,34.502252
24,西北农林科技大学,108.074122,34.281562
25,西北工业大学,108.910038,34.240884
26,华中科技大学,114.413301,30.513197
27,中国海洋大学,120.494750,36.165085
28,吉林大学,125.279958,43.826249
29,东北大学,123.418324,41.765235
30,中山大学,113.303943,23.094742
31,兰州大学,103.856588,36.049956
